mu,,e,,antimu,,antie,
X,Y,X,Y,X,Y,X,Y
0.4950940852913894,110.61958784787365,0.10035135229568659,9.257048658534702,0.10035135229568659,18.914309177036365,0.10035135229568659,8.327199872112848
0.5789777085524977,121.85197429917216,0.11389021632877219,11.23507976115654,0.11488484881061393,22.921601788753915,0.11389021632877219,10.049468923020523
0.701037588729344,135.9259764205261,0.12209478972525517,12.58795455517927,0.12532166285486465,26.176438767309804,0.12316107485174735,11.341296340445037
0.8488300906094212,150.62008245279418,0.13203351456416174,14.214762944713739,0.136706618351378,29.768703511341077,0.13434974985132636,12.897693654745517
1.0277801565961011,166.26934040741148,0.1440282140687647,16.182404036917468,0.1491258500353028,33.74792693056807,0.14655486976580154,14.575956293598544
1.244456413573072,183.37016898190382,0.15711258248569346,18.383929227149682,0.16267331762674275,37.940390888058865,0.15986877441781147,16.40385108443411
1.506812284070739,201.07982865971098,0.17138561173534064,20.689362077833678,0.17745151669832332,42.52010441611073,0.1743921923215204,18.26896654372063
1.8244779284052917,217.79212190465952,0.18695528674523323,23.235270946246946,0.19526277028533026,47.71910139515611,0.19023500276060035,20.47417928047544
2.2091137339585165,233.88414978233808,0.2039394024275903,25.98556373151226,0.21673822713679183,53.62849438977085,0.20932936689080017,22.893659904989164
2.6748383269452414,248.08085726157208,0.22440931150814128,29.193363651154982,0.24267661352313138,60.48009779486836,0.23235190098594855,25.728743330876288
3.2387468174735328,261.6429439552549,0.24909037323494682,32.951819550798895,0.27409219844511007,68.15614789328461,0.26015887101145435,28.961738886210203
3.9215383008491167,273.46602277319795,0.27648591594237015,36.83939159017657,0.3122782679367283,76.47018817443679,0.29383761321414115,32.4916087417762
4.748275648487689,284.3331016538521,0.30957467288586854,41.170233802959444,0.35889151323743546,85.62239624142056,0.3347745810705731,36.44829815498728
5.749305477684458,293.1139147246669,0.35270410173764283,46.265754981873464,0.41606478034248745,95.64054519794907,0.38810589662850614,40.98277164113995
6.961372069092115,300.73331438717804,0.4053516424118258,51.836856840696846,0.490807735403683,107.14778837119718,0.457826245384801,46.22949067128335
8.428966119896183,307.9648015899335,0.4740302339573769,58.306958911594606,0.5891345888223124,119.67122002891085,0.5495456924797559,51.9231495346822
10.205957840667974,313.42782071275366,0.5689959363458875,65.50676375419505,0.7133357389831149,133.11324321102123,0.6654007252123297,57.67311403640099
12.357574341131059,318.2306820539145,0.688951462760069,73.21188670237623,0.8637209326442385,147.0832912574625,0.8056802758569608,63.24311066025095
14.962793887710786,323.1071408090189,0.8341959717453936,80.70337912090913,1.0458102807961096,161.058625425884,0.9755335128283992,68.56455540152206
18.117244917631954,328.0583247598108,1.0100608778569158,87.7855221250782,1.2662876423180702,175.2756378430327,1.1811951504448592,73.77069113661213
21.93671622216525,332.29485364360056,1.2230015626213877,94.72081574251389,1.5332459649056283,189.57280817063494,1.4302143033397527,78.73347067919163
26.56140714549144,335.78725913518304,1.4808343288653143,100.90098599562666,1.8564843486871039,202.61461085084895,1.73173158788134,82.87997395982833
32.16107380901913,339.6390312829277,1.7930233096724595,106.72091208128217,2.247867736689146,215.117630015244,2.0968146420177622,86.00983030143854
38.94126026093257,342.06879360101505,2.1710278633884776,111.5433993075211,2.721762435121732,225.37321810356553,2.5388643792997203,88.4135357927872
47.15084327453114,344.8435443015508,2.628723206320253,114.93346446796994,3.295563449898922,234.10655413518634,3.0741068892356345,89.47022506051466
57.09116773834357,344.8435443015508,3.182909723075323,116.69466579350498,3.9903329960625076,241.91040018570516,3.7221890399094817,89.17308548995898
69.12710796602592,344.8435443015508,3.8539296495308526,116.86115572380373,4.83157361754135,248.5528900661001,4.506899645336392,88.11990559303068
83.70046094778388,344.8435443015508,4.666413764692735,116.03107464672968,5.850164295750902,253.4433155418747,5.457042669070688,86.2554282585367
101.3461631624259,343.8616597789313,5.650185499874018,113.84623726728877,7.083493908283768,257.32699472397024,6.607494516296341,83.79084980949132
122.71192621212197,340.93274890723694,6.8413556518575716,110.90910114351858,8.576833642969131,260.27875934331126,8.000484223870137,80.39713871354243
148.5820120348881,337.70765376257464,8.283647883108815,106.67020688991747,10.384998743789446,262.51478181506025,9.687143539586764,77.06759540890529
179.90602039913844,333.24370956998797,10.030003663484694,101.76781382543905,12.574360585496148,263.7653063443739,11.729383788618117,73.14233443228711
